County,Latitude,Longitude,,,
Adams,39 003?17??,- 83 042?21??,,,
Allen,40 053?18??,-84 023?50??,,,
Ashland,41 003?58??,- 82 025?00??,,,
Ashtabula,41 058?40??,- 81 000?00??,,,
Athens,39 033?22??,- 82 016?06??,,,
Auglaize,40 041?06??,- 84 026?02??,,,
Belmont,40 010?23??,- 81 014?15??,,,
Brown,39 015?15??,- 84 002?00??,,,
Butler,39 035?21??,-84 049?10??,,,
Carroll, 40 043?42??,- 81 019?21??,,,
Champaign,40 015?24??,- 84 002?12??,,,
Clark, 40 002?24??,- 84 003?07??,,,
Clermont,39 016?14??,- 84 019?12??,,,
Clinton,39 034?12??,- 84 000?27??,,,
Columbiana,40 053?37??,- 81 005?09??,,,
Coshocton,40 027?22??,- 82 011?20??,,,
Crawford,40 059?37??,- 83 006?43??,,,
Cuyahoga, 41 037?58??,- 81 058?14??,,,
Darke,40 002?08??,- 84 048?43??,,,
Defiance, 41 025?34??,- 84 048?08??,,,
Delaware,40 026?39??,- 83 015?00??,,,
Erie,41 025?48??,- 82 057?16??,,,
Fairfield,39 056?27??,- 82 050?39??,,,
Fayette,39 043?00??,- 83 013?26??,,,
Franklin,40 008?35??,- 83 015?38??,,,
Fulton,41 042?42??,- 84 020?30??,,,
Gallia,39 002?04??,- 82 021?40??,,,
Geauga,41 042?53??,- 81 023?31??,,,
Greene,39 051?02??,- 84 006?48??,,,
Guernsey, 40 013?14??,- 81 046?16??,,,
Hamilton, 39 018?20??,- 84 049?07??,,,
Hancock,41 010?04??,- 83 052?50??,,,
Hardin, 40 048?41??,- 83 052?12??,,,
Harrison,40 025?58??,- 81 020?22??,,,
Henry, 41 020?09??,- 84 013?40??,,,
Highland, 39 022?42??,- 83 052?21??,,,
Hocking,39 039?12??,- 82 044?55??,,,
Holmes,40 040?05??,- 82 011?20??,,,
Huron, 41 017?25??,- 82 050?29??,,,
Jackson, 39 012?26??,- 82 048?07??,,,
Jefferson,40 035?42??,- 80 056?36??,,,
Knox, 40 034?24??,- 82 045?05??,,,
Lake,41 051?13??,- 81 029?20??,,,
Lawrence, 38 050?55??,- 82 048?56??,,,
Licking, 40 016?37??,- 82 046?54??,,,
Logan, 40 032?20??,- 84 001?00??,,,
Lorain,41 030?55??,- 82 020?45??,,,
Lucas, 41 057?36??,- 83 052?58??,,,
Madison,40 006?36??,-83 039?14??,,,
Mahoning, 41 008?03??,-81 005?25??,,,
Marion, 40 041?14??,- 83 025?05??,,,
Medina,41 008?12??,- 82 010?25??,,,
Meigs, 39 012?20??,- 82 019?27??,,,
Mercer,40 043?41??,- 84 048?17??,,,
Miami,40 011?51??,- 84 025?39??,,,
Monroe,39 052?10??,- 81 017?01??,,,
Montgomery, 39 055?12??,- 84 029?05??,,,
Morgan, 39 046?13??,- 82 003?22??,,,
Morrow,40 042?11??,- 83 001?33??,,,
Muskingum,40 009?58??,- 82 014?03??,,,
Noble, 39 057?05??,- 81 041?57??,,,
Ottawa, 41 051?30??,- 83 024?55??,,,
Paulding,41 015?07??,- 84 048?08??,,,
Perry, 39 055?23??,- 82 028?06??,,,
Pickaway, 39 048?45??,- 83 016?01??,,,
Pike,39 011?53??,- 83 023?10??,,,
Portage,41 020?53??,- 81 023?36??,,,
Preble, 39 054?59??,- 84 048?58??,,,
Putnam,41 009?25??,- 84 023?54??,,,
Richland,40 059?45??,- 82 043?06??,,,
Ross,39 030?58??,- 83 023?35??,,,
Sandusky, 41 030?04??,- 83 025?10??,,,
Scioto,39 000?56??,- 83 016?05??,,,
Seneca,41 015?20??,- 83 027?30??,,,
Shelby, 40 028?55??,- 84 026?00??,,,
Stark, 40 058?50??,- 81 039?00??,,,
Summit,41 016?39??,- 81 041?18??,,,
Trumbull,41 030?00??,- 81 000?00??,,,
Tuscarawas,40 040?00??,- 81 042?43??,,,
Union,40 030?25??,- 83 033?05??,,,
Van Wert, 40 059?22??,- 84 048?07??,,,
Vinton, 39 023?43??,-82 045?50??,,,
Warren,39 035?20??,- 84 021?10??,,,
Washington, 39 038?40??,- 81 051?12??,,,
Wayne, 40 059?30??,- 82 007?30??,,,
Williams,41 042?23??,-84 048?16??,,,
Wood,41 037?09??,- 83 052?53??,,,
Wyandot,40 059?33??,-83 030?55??,,,
